filename,file,duration,sample_rate,channels,bitrate,file_size,efficient,primary_label
H98_20230514_091000.ogg,H98_20230514_091000,60.0,32000,1,72,474865,speowl1,blbwre1
H94_20230518_233000.ogg,H94_20230518_233000,60.0,32000,1,72,470451,sobtyr1,whtdov
H26_20230519_224000.ogg,H26_20230519_224000,60.0,32000,1,72,491145,speowl1,compot1
H28_20230509_151000.ogg,H28_20230509_151000,60.0,32000,1,72,466452,tbsfin1,socfly1
H83_20230503_165000.ogg,H83_20230503_165000,60.0,32000,1,72,481612,whtdov,grekis
H37_20230510_051000.ogg,H37_20230510_051000,60.0,32000,1,72,504471,roahaw,21211
H07_20230504_204500.ogg,H07_20230504_204500,60.0,32000,1,72,468005,whtdov,roahaw
H06_20230430_235500.ogg,H06_20230430_235500,60.0,32000,1,72,464811,whtdov,speowl1
H29_20230511_074000.ogg,H29_20230511_074000,60.0,32000,1,72,459453,grepot1,roahaw
H06_20230501_195500.ogg,H06_20230501_195500,60.0,32000,1,72,477036,speowl1,compau
O203_20230506_152000.ogg,O203_20230506_152000,60.0,32000,1,72,486899,whfant1,speowl1
H29_20230524_093000.ogg,H29_20230524_093000,60.0,32000,1,72,458987,roahaw,bkmtou1
H24_20230509_094500.ogg,H24_20230509_094500,60.0,32000,1,72,453658,speowl1,strfly1
H63_20230424_210000.ogg,H63_20230424_210000,60.0,32000,1,72,490460,whtdov,compot1
H04_20230420_232000.ogg,H04_20230420_232000,60.0,32000,1,72,474098,tropar,compot1
H06_20230421_155500.ogg,H06_20230421_155500,60.0,32000,1,72,467387,whtdov,socfly1
H31_20230514_123000.ogg,H31_20230514_123000,60.0,32000,1,72,453738,52884,greegr
H92_20230428_184500.ogg,H92_20230428_184500,60.0,32000,1,72,486599,sobtyr1,compot1
H02_20230501_052500.ogg,H02_20230501_052500,60.0,32000,1,72,474259,solsan,butsal1
H63_20230424_214500.ogg,H63_20230424_214500,60.0,32000,1,72,493296,sobtyr1,compot1
H84_20230427_094500.ogg,H84_20230427_094500,60.0,32000,1,72,463223,roahaw,compot1
H77_20230519_220500.ogg,H77_20230519_220500,60.0,32000,1,72,485569,compau,speowl1
H84_20230521_083500.ogg,H84_20230521_083500,60.0,32000,1,72,475608,whtdov,crcwoo1
H16_20230508_010500.ogg,H16_20230508_010500,60.0,32000,1,72,460250,whtdov,speowl1
H11_20230514_043000.ogg,H11_20230514_043000,60.0,32000,1,72,479528,whtdov,speowl1
H77_20230510_022500.ogg,H77_20230510_022500,60.0,32000,1,72,494503,anhing,compot1
H78_20230507_021500.ogg,H78_20230507_021500,60.0,32000,1,72,471944,solsan,65448
H20_20230509_053500.ogg,H20_20230509_053500,60.0,32000,1,72,470420,tbsfin1,greibi1
H92_20230506_173000.ogg,H92_20230506_173000,60.0,32000,1,72,474601,roahaw,compot1
H08_20230502_063000.ogg,H08_20230502_063000,60.0,32000,1,72,464261,whtdov,pirfly1
H04_20230513_071500.ogg,H04_20230513_071500,60.0,32000,1,72,469008,roahaw,whtdov
H83_20230501_235000.ogg,H83_20230501_235000,60.0,32000,1,72,486911,whtdov,speowl1
H74_20230419_195500.ogg,H74_20230419_195500,60.0,32000,1,72,480765,bkmtou1,speowl1
H94_20230429_093000.ogg,H94_20230429_093000,60.0,32000,1,72,468642,roahaw,pirfly1
H22_20230421_222000.ogg,H22_20230421_222000,60.0,32000,1,72,476058,whtdov,pavpig2
H85_20230507_070500.ogg,H85_20230507_070500,60.0,32000,1,72,463182,compau,yeofly1
H07_20230508_100000.ogg,H07_20230508_100000,60.0,32000,1,72,453240,tropar,bobfly1
H07_20230506_033000.ogg,H07_20230506_033000,60.0,32000,1,72,467813,roahaw,speowl1
H93_20230426_093500.ogg,H93_20230426_093500,60.0,32000,1,72,479051,linwoo1,speowl1
H8749_20230426_184500.ogg,H8749_20230426_184500,60.0,32000,1,72,478072,21211,compot1
H63_20230519_003500.ogg,H63_20230519_003500,60.0,32000,1,72,491102,wbwwre1,compot1
H24_20230427_100000.ogg,H24_20230427_100000,60.0,32000,1,72,452461,compot1,banana
H90_20230427_004000.ogg,H90_20230427_004000,60.0,32000,1,72,482430,roahaw,compot1
H11_20230507_110000.ogg,H11_20230507_110000,60.0,32000,1,72,457702,grasal4,blbgra1
H98_20230505_021500.ogg,H98_20230505_021500,60.0,32000,1,72,479338,roahaw,speowl1
H67_20230503_141500.ogg,H67_20230503_141500,60.0,32000,1,72,466400,bobfly1,whbman1
H09_20230502_043500.ogg,H09_20230502_043500,60.0,32000,1,72,510209,whtdov,speowl1
H12_20230506_234000.ogg,H12_20230506_234000,60.0,32000,1,72,491387,tropar,compot1
H09_20230422_083500.ogg,H09_20230422_083500,60.0,32000,1,72,476119,roahaw,blbgra1
H73_20230504_130500.ogg,H73_20230504_130500,60.0,32000,1,72,457343,whbman1,creoro1
H02_20230504_050500.ogg,H02_20230504_050500,60.0,32000,1,72,474822,speowl1,speowl1
H05_20230505_000000.ogg,H05_20230505_000000,60.0,32000,1,72,471976,whtdov,speowl1
H93_20230517_084500.ogg,H93_20230517_084500,60.0,32000,1,72,484561,whtdov,rtlhum
H17_20230424_120500.ogg,H17_20230424_120500,60.0,32000,1,72,471905,roahaw,speowl1
H98_20230429_131000.ogg,H98_20230429_131000,60.0,32000,1,72,467073,bobfly1,linwoo1
H8749_20230510_011000.ogg,H8749_20230510_011000,60.0,32000,1,72,475731,tropar,speowl1
H07_20230430_211500.ogg,H07_20230430_211500,60.0,32000,1,72,472782,whtdov,65448
H73_20230520_104000.ogg,H73_20230520_104000,60.0,32000,1,72,470191,whtdov,chbant1
H67_20230506_124000.ogg,H67_20230506_124000,60.0,32000,1,72,469505,banana,speowl1
H73_20230428_120000.ogg,H73_20230428_120000,60.0,32000,1,72,463598,roahaw,bkmtou1
H06_20230503_111500.ogg,H06_20230503_111500,60.0,32000,1,72,456731,solsan,neocor
H31_20230518_223000.ogg,H31_20230518_223000,60.0,32000,1,72,470773,roahaw,speowl1
H22_20230504_130500.ogg,H22_20230504_130500,60.0,32000,1,72,457712,whtdov,roahaw
H99_20230513_133000.ogg,H99_20230513_133000,60.0,32000,1,72,463431,whtdov,speowl1
H98_20230513_174000.ogg,H98_20230513_174000,60.0,32000,1,72,470742,whtdov,speowl1
H85_20230505_093000.ogg,H85_20230505_093000,60.0,32000,1,72,463741,whtdov,yehcar1
H85_20230505_220500.ogg,H85_20230505_220500,60.0,32000,1,72,470358,whtdov,compot1
H67_20230508_013500.ogg,H67_20230508_013500,60.0,32000,1,72,487892,rtlhum,speowl1
H67_20230501_215000.ogg,H67_20230501_215000,60.0,32000,1,72,488884,shghum1,compot1
H03_20230504_113000.ogg,H03_20230504_113000,60.0,32000,1,72,460237,solsan,roahaw
H27_20230424_070500.ogg,H27_20230424_070500,60.0,32000,1,72,471222,tropar,bubwre1
H14_20230505_173500.ogg,H14_20230505_173500,60.0,32000,1,72,463302,whtdov,socfly1
H69_20230425_112500.ogg,H69_20230425_112500,60.0,32000,1,72,451895,whtdov,strowl1
H16_20230420_021500.ogg,H16_20230420_021500,60.0,32000,1,72,458517,thlsch3,strowl1
H37_20230507_144000.ogg,H37_20230507_144000,60.0,32000,1,72,473570,solsan,compot1
H06_20230509_064500.ogg,H06_20230509_064500,60.0,32000,1,72,474226,roahaw,bobfly1
H28_20230522_012500.ogg,H28_20230522_012500,60.0,32000,1,72,471959,21211,speowl1
H71_20230430_202500.ogg,H71_20230430_202500,60.0,32000,1,72,487077,solsan,compot1
H71_20230423_185500.ogg,H71_20230423_185500,60.0,32000,1,72,477577,tropar,speowl1
H79_20230515_012500.ogg,H79_20230515_012500,60.0,32000,1,72,494565,blbgra1,compot1
H95_20230508_154500.ogg,H95_20230508_154500,60.0,32000,1,72,470549,roahaw,21211
H98_20230423_040500.ogg,H98_20230423_040500,60.0,32000,1,72,483943,linwoo1,trsowl
H89_20230430_103000.ogg,H89_20230430_103000,60.0,32000,1,72,475880,thbeup1,compot1
H04_20230515_200000.ogg,H04_20230515_200000,60.0,32000,1,72,472222,whtdov,compot1
H83_20230507_044500.ogg,H83_20230507_044500,60.0,32000,1,72,484835,blbgra1,compot1
H14_20230515_083500.ogg,H14_20230515_083500,60.0,32000,1,72,485415,whtdov,pavpig2
H91_20230426_164000.ogg,H91_20230426_164000,60.0,32000,1,72,489982,whtdov,speowl1
H89_20230519_172500.ogg,H89_20230519_172500,60.0,32000,1,72,466847,trsowl,speowl1
H20_20230512_225500.ogg,H20_20230512_225500,60.0,32000,1,72,491368,trsowl,compot1
H19_20230510_064500.ogg,H19_20230510_064500,60.0,32000,1,72,496280,saffin,chbant1
H91_20230428_053500.ogg,H91_20230428_053500,60.0,32000,1,72,480103,21211,rufmot1
H26_20230513_081500.ogg,H26_20230513_081500,60.0,32000,1,72,481429,speowl1,solsan
H12_20230429_053500.ogg,H12_20230429_053500,60.0,32000,1,72,483596,solsan,compot1
H18_20230508_145000.ogg,H18_20230508_145000,60.0,32000,1,72,457280,speowl1,roahaw
H65_20230520_100000.ogg,H65_20230520_100000,60.0,32000,1,72,467198,roahaw,rugdov
H27_20230502_115000.ogg,H27_20230502_115000,60.0,32000,1,72,459088,whtdov,strher
H24_20230504_104500.ogg,H24_20230504_104500,60.0,32000,1,72,453859,whtdov,amekes
H30_20230503_171000.ogg,H30_20230503_171000,60.0,32000,1,72,465838,speowl1,whtdov
H92_20230425_110000.ogg,H92_20230425_110000,60.0,32000,1,72,461924,whtdov,butsal1
H8920_20230507_031500.ogg,H8920_20230507_031500,60.0,32000,1,72,482887,speowl1,compot1
H71_20230515_114500.ogg,H71_20230515_114500,60.0,32000,1,72,484219,chbant1,littin1
H69_20230522_122500.ogg,H69_20230522_122500,60.0,32000,1,72,452676,cocwoo1,strowl1
H20_20230423_232500.ogg,H20_20230423_232500,60.0,32000,1,72,472495,linwoo1,trokin
H93_20230502_011000.ogg,H93_20230502_011000,60.0,32000,1,72,493402,compot1,compot1
H91_20230424_234000.ogg,H91_20230424_234000,60.0,32000,1,72,476936,whtdov,compot1
H29_20230515_020000.ogg,H29_20230515_020000,60.0,32000,1,72,478216,roahaw,yeofly1
H84_20230522_055000.ogg,H84_20230522_055000,60.0,32000,1,72,479286,whtdov,21211
O202_20230524_221000.ogg,O202_20230524_221000,60.0,32000,1,72,492200,whtdov,compau
H10_20230510_150000.ogg,H10_20230510_150000,60.0,32000,1,72,457744,thbeup1,roahaw
H29_20230506_110000.ogg,H29_20230506_110000,60.0,32000,1,72,465452,whtdov,compau
H71_20230426_095500.ogg,H71_20230426_095500,60.0,32000,1,72,470696,roahaw,pirfly1
H03_20230518_042500.ogg,H03_20230518_042500,60.0,32000,1,72,472587,whtdov,compau
H04_20230519_012000.ogg,H04_20230519_012000,60.0,32000,1,72,472308,whtdov,compot1
H92_20230516_222500.ogg,H92_20230516_222500,60.0,32000,1,72,486208,compot1,compot1
H05_20230430_124500.ogg,H05_20230430_124500,60.0,32000,1,72,460087,roahaw,compot1
H02_20230502_080500.ogg,H02_20230502_080500,60.0,32000,1,72,473687,21211,whtdov
H91_20230423_070500.ogg,H91_20230423_070500,60.0,32000,1,72,474590,speowl1,speowl1
H98_20230506_194000.ogg,H98_20230506_194000,60.0,32000,1,72,481782,linwoo1,compot1
H17_20230505_201500.ogg,H17_20230505_201500,60.0,32000,1,72,485585,whtdov,speowl1
H67_20230429_085500.ogg,H67_20230429_085500,60.0,32000,1,72,483296,whtdov,compot1
H67_20230509_045500.ogg,H67_20230509_045500,60.0,32000,1,72,492192,roahaw,speowl1
H77_20230509_075500.ogg,H77_20230509_075500,60.0,32000,1,72,472622,yeofly1,colcha1
H69_20230421_025500.ogg,H69_20230421_025500,60.0,32000,1,72,481087,roahaw,speowl1
H84_20230515_151500.ogg,H84_20230515_151500,60.0,32000,1,72,489643,roahaw,yectyr1
H73_20230516_152000.ogg,H73_20230516_152000,60.0,32000,1,72,465826,wbwwre1,trokin
H67_20230516_212000.ogg,H67_20230516_212000,60.0,32000,1,72,495134,speowl1,compot1
H83_20230513_083500.ogg,H83_20230513_083500,60.0,32000,1,72,464040,50186,rugdov
H03_20230509_222500.ogg,H03_20230509_222500,60.0,32000,1,72,499733,sobtyr1,speowl1
H29_20230503_171000.ogg,H29_20230503_171000,60.0,32000,1,72,481597,roahaw,compau
H31_20230508_111500.ogg,H31_20230508_111500,60.0,32000,1,72,460539,whtdov,strowl1
H90_20230515_215000.ogg,H90_20230515_215000,60.0,32000,1,72,484200,whtdov,compot1
H89_20230503_231500.ogg,H89_20230503_231500,60.0,32000,1,72,469303,whtdov,21211
O203_20230509_054000.ogg,O203_20230509_054000,60.0,32000,1,72,473595,roahaw,bubwre1
H37_20230507_031500.ogg,H37_20230507_031500,60.0,32000,1,72,494739,whtdov,compot1
H11_20230426_235500.ogg,H11_20230426_235500,60.0,32000,1,72,508558,whtdov,compot1
H18_20230430_092500.ogg,H18_20230430_092500,60.0,32000,1,72,461187,thbeup1,solsan
H05_20230515_185500.ogg,H05_20230515_185500,60.0,32000,1,72,471138,thbeup1,speowl1
H31_20230512_194500.ogg,H31_20230512_194500,60.0,32000,1,72,466324,saffin,compau
H37_20230509_002500.ogg,H37_20230509_002500,60.0,32000,1,72,489932,roahaw,speowl1
H63_20230425_192000.ogg,H63_20230425_192000,60.0,32000,1,72,490209,whtdov,compot1
H98_20230519_074500.ogg,H98_20230519_074500,60.0,32000,1,72,475477,compot1,21211
H71_20230510_000000.ogg,H71_20230510_000000,60.0,32000,1,72,500016,linwoo1,speowl1
H02_20230429_112500.ogg,H02_20230429_112500,60.0,32000,1,72,466717,whtdov,whtdov
H89_20230510_205000.ogg,H89_20230510_205000,60.0,32000,1,72,474164,roahaw,compot1
H79_20230506_053500.ogg,H79_20230506_053500,60.0,32000,1,72,482131,whtdov,ywcpar
O202_20230503_062500.ogg,O202_20230503_062500,60.0,32000,1,72,471870,roahaw,pavpig2
H85_20230425_022000.ogg,H85_20230425_022000,60.0,32000,1,72,476614,whtdov,yeofly1
H29_20230513_232500.ogg,H29_20230513_232500,60.0,32000,1,72,476463,whtdov,compot1
H06_20230424_022000.ogg,H06_20230424_022000,60.0,32000,1,72,461294,whtdov,speowl1
H63_20230506_221500.ogg,H63_20230506_221500,60.0,32000,1,72,491427,whtdov,compot1
H28_20230514_140000.ogg,H28_20230514_140000,60.0,32000,1,72,456121,whtdov,roahaw
H83_20230424_031000.ogg,H83_20230424_031000,60.0,32000,1,72,472016,whtdov,speowl1
H26_20230503_104000.ogg,H26_20230503_104000,60.0,32000,1,72,477631,whtdov,bbwduc
H73_20230426_062000.ogg,H73_20230426_062000,60.0,32000,1,72,464935,whtdov,wbwwre1
H69_20230425_163500.ogg,H69_20230425_163500,60.0,32000,1,72,486525,whtdov,compot1
H10_20230422_183500.ogg,H10_20230422_183500,60.0,32000,1,72,488402,sobtyr1,compau
H84_20230425_061500.ogg,H84_20230425_061500,60.0,32000,1,72,473158,whtdov,littin1
H79_20230518_094000.ogg,H79_20230518_094000,60.0,32000,1,72,469795,whtdov,rugdov
O203_20230503_125500.ogg,O203_20230503_125500,60.0,32000,1,72,474576,whtdov,trsowl
H79_20230505_224500.ogg,H79_20230505_224500,60.0,32000,1,72,482945,whtdov,compot1
H77_20230428_192500.ogg,H77_20230428_192500,60.0,32000,1,72,477264,tropar,speowl1
H03_20230423_124000.ogg,H03_20230423_124000,60.0,32000,1,72,457488,speowl1,roahaw
H11_20230511_130000.ogg,H11_20230511_130000,60.0,32000,1,72,467090,whtdov,grekis
H92_20230519_185000.ogg,H92_20230519_185000,60.0,32000,1,72,481386,whtdov,speowl1
H03_20230424_211500.ogg,H03_20230424_211500,60.0,32000,1,72,480555,whtdov,compot1
H17_20230519_192500.ogg,H17_20230519_192500,60.0,32000,1,72,472454,roahaw,compot1
H09_20230425_174500.ogg,H09_20230425_174500,60.0,32000,1,72,468246,whtdov,yercac1
H31_20230507_101000.ogg,H31_20230507_101000,60.0,32000,1,72,456090,whtdov,eardov1
H73_20230424_185000.ogg,H73_20230424_185000,60.0,32000,1,72,475224,whtdov,speowl1
H11_20230429_225000.ogg,H11_20230429_225000,60.0,32000,1,72,494759,whtdov,speowl1
H37_20230506_112000.ogg,H37_20230506_112000,60.0,32000,1,72,488560,whtdov,thlsch3
H11_20230514_051000.ogg,H11_20230514_051000,60.0,32000,1,72,471095,roahaw,yebela1
O201_20230507_194000.ogg,O201_20230507_194000,60.0,32000,1,72,496180,blkvul,compot1
H8749_20230512_083500.ogg,H8749_20230512_083500,60.0,32000,1,72,471367,48124,roahaw
H84_20230514_172000.ogg,H84_20230514_172000,60.0,32000,1,72,492130,whtdov,compot1
H31_20230513_204500.ogg,H31_20230513_204500,60.0,32000,1,72,467963,roahaw,compau
H07_20230508_171000.ogg,H07_20230508_171000,60.0,32000,1,72,466447,roahaw,roahaw
H85_20230507_001500.ogg,H85_20230507_001500,60.0,32000,1,72,471978,roahaw,gretin1
H77_20230519_185500.ogg,H77_20230519_185500,60.0,32000,1,72,468764,linwoo1,roahaw
H28_20230425_053500.ogg,H28_20230425_053500,60.0,32000,1,72,474173,roahaw,strfly1
H05_20230513_124500.ogg,H05_20230513_124500,60.0,32000,1,72,458917,trsowl,speowl1
H17_20230428_185500.ogg,H17_20230428_185500,60.0,32000,1,72,496661,whtdov,speowl1
H89_20230502_212000.ogg,H89_20230502_212000,60.0,32000,1,72,471297,roahaw,trsowl
H93_20230506_022500.ogg,H93_20230506_022500,60.0,32000,1,72,491533,whtdov,compot1
H14_20230420_210000.ogg,H14_20230420_210000,60.0,32000,1,72,478901,whtdov,compot1
H83_20230515_045000.ogg,H83_20230515_045000,60.0,32000,1,72,476193,whtdov,speowl1
H19_20230425_123000.ogg,H19_20230425_123000,60.0,32000,1,72,467110,whtdov,linwoo1
H78_20230514_160500.ogg,H78_20230514_160500,60.0,32000,1,72,476172,wbwwre1,compot1
H14_20230427_042000.ogg,H14_20230427_042000,60.0,32000,1,72,463051,bobfly1,compau
H65_20230516_031500.ogg,H65_20230516_031500,60.0,32000,1,72,481067,whtdov,speowl1
O203_20230508_110000.ogg,O203_20230508_110000,60.0,32000,1,72,473082,whtdov,roahaw
H04_20230513_000500.ogg,H04_20230513_000500,60.0,32000,1,72,465036,whtdov,compot1
H90_20230429_121500.ogg,H90_20230429_121500,60.0,32000,1,72,467496,whtdov,roahaw
H63_20230423_150000.ogg,H63_20230423_150000,60.0,32000,1,72,474992,48124,pavpig2
H10_20230427_081500.ogg,H10_20230427_081500,60.0,32000,1,72,465412,roahaw,grekis
O202_20230506_164000.ogg,O202_20230506_164000,60.0,32000,1,72,472854,whtdov,chbant1
H67_20230424_111000.ogg,H67_20230424_111000,60.0,32000,1,72,470183,roahaw,bkmtou1
H91_20230427_151000.ogg,H91_20230427_151000,60.0,32000,1,72,468097,whtdov,strowl1
H84_20230509_112000.ogg,H84_20230509_112000,60.0,32000,1,72,473830,linwoo1,compau
H06_20230506_062500.ogg,H06_20230506_062500,60.0,32000,1,72,459823,linwoo1,whtdov
H32_20230426_131000.ogg,H32_20230426_131000,60.0,32000,1,72,453304,whtdov,whtdov
H90_20230505_131000.ogg,H90_20230505_131000,60.0,32000,1,72,456189,whtdov,roahaw
H84_20230422_180000.ogg,H84_20230422_180000,60.0,32000,1,72,487479,whtdov,speowl1
H37_20230519_222000.ogg,H37_20230519_222000,60.0,32000,1,72,491280,whtdov,compot1
H8749_20230424_175000.ogg,H8749_20230424_175000,60.0,32000,1,72,469291,whtdov,compot1
H27_20230424_062500.ogg,H27_20230424_062500,60.0,32000,1,72,469400,whtdov,smbani
O203_20230503_042000.ogg,O203_20230503_042000,60.0,32000,1,72,474634,whtdov,grepot1
H83_20230510_020500.ogg,H83_20230510_020500,60.0,32000,1,72,486557,whtdov,speowl1
H02_20230424_182500.ogg,H02_20230424_182500,60.0,32000,1,72,495728,roahaw,65448
H79_20230425_134000.ogg,H79_20230425_134000,60.0,32000,1,72,464747,whtdov,pavpig2
H03_20230503_183500.ogg,H03_20230503_183500,60.0,32000,1,72,477465,trsowl,speowl1
H95_20230511_103500.ogg,H95_20230511_103500,60.0,32000,1,72,464661,compot1,chbant1
H8749_20230504_202000.ogg,H8749_20230504_202000,60.0,32000,1,72,473429,strfly1,roahaw
H08_20230429_084500.ogg,H08_20230429_084500,60.0,32000,1,72,466356,whtdov,rufmot1
H89_20230429_150500.ogg,H89_20230429_150500,60.0,32000,1,72,458094,whbman1,rutjac1
H37_20230503_014500.ogg,H37_20230503_014500,60.0,32000,1,72,506871,whtdov,compot1
H83_20230519_195500.ogg,H83_20230519_195500,60.0,32000,1,72,482786,roahaw,compot1
H20_20230506_032000.ogg,H20_20230506_032000,60.0,32000,1,72,476356,whtdov,21211
H74_20230504_051500.ogg,H74_20230504_051500,60.0,32000,1,72,482539,whtdov,yeofly1
H98_20230503_225500.ogg,H98_20230503_225500,60.0,32000,1,72,476502,whtdov,compot1
H28_20230522_100500.ogg,H28_20230522_100500,60.0,32000,1,72,466973,whtdov,stbwoo2
H71_20230423_220500.ogg,H71_20230423_220500,60.0,32000,1,72,491258,roahaw,speowl1
H03_20230420_234500.ogg,H03_20230420_234500,60.0,32000,1,72,472682,whbman1,compot1
H85_20230426_081000.ogg,H85_20230426_081000,60.0,32000,1,72,461032,whtdov,compot1
H05_20230428_025500.ogg,H05_20230428_025500,60.0,32000,1,72,483822,whtdov,speowl1
H94_20230512_080000.ogg,H94_20230512_080000,60.0,32000,1,72,510224,whtdov,crcwoo1
H17_20230509_101500.ogg,H17_20230509_101500,60.0,32000,1,72,465629,48124,speowl1
H31_20230520_192000.ogg,H31_20230520_192000,60.0,32000,1,72,476392,roahaw,strowl1
H95_20230515_041000.ogg,H95_20230515_041000,60.0,32000,1,72,504121,roahaw,yeofly1
H10_20230428_095500.ogg,H10_20230428_095500,60.0,32000,1,72,456863,whtdov,soulap1
H67_20230502_170000.ogg,H67_20230502_170000,60.0,32000,1,72,476453,roahaw,compot1
H92_20230513_193000.ogg,H92_20230513_193000,60.0,32000,1,72,484307,roahaw,compot1
H69_20230512_201500.ogg,H69_20230512_201500,60.0,32000,1,72,497715,whtdov,compot1
H31_20230520_221500.ogg,H31_20230520_221500,60.0,32000,1,72,484510,tropar,compau
H31_20230506_141500.ogg,H31_20230506_141500,60.0,32000,1,72,456737,whtdov,strcuc1
H88_20230423_162500.ogg,H88_20230423_162500,60.0,32000,1,72,483932,whtdov,littin1
H92_20230507_121500.ogg,H92_20230507_121500,60.0,32000,1,72,461666,whtdov,compot1
H18_20230506_164000.ogg,H18_20230506_164000,60.0,32000,1,72,465967,whtdov,compot1
H04_20230423_130500.ogg,H04_20230423_130500,60.0,32000,1,72,460089,whtdov,roahaw
H69_20230510_055000.ogg,H69_20230510_055000,60.0,32000,1,72,473778,roahaw,compot1
H05_20230517_101500.ogg,H05_20230517_101500,60.0,32000,1,72,464925,roahaw,socfly1
H18_20230428_224500.ogg,H18_20230428_224500,60.0,32000,1,72,469133,whtdov,compot1
H05_20230510_234000.ogg,H05_20230510_234000,60.0,32000,1,72,472181,whtdov,speowl1
H31_20230503_020500.ogg,H31_20230503_020500,60.0,32000,1,72,465400,whtdov,compau
H98_20230428_104000.ogg,H98_20230428_104000,60.0,32000,1,72,470629,whtdov,cocwoo1
H27_20230518_082000.ogg,H27_20230518_082000,60.0,32000,1,72,468241,whtdov,roahaw
H77_20230507_121000.ogg,H77_20230507_121000,60.0,32000,1,72,463629,whtdov,bobfly1
H98_20230428_000500.ogg,H98_20230428_000500,60.0,32000,1,72,484596,whtdov,speowl1
H83_20230425_071500.ogg,H83_20230425_071500,60.0,32000,1,72,474954,48124,blbgra1
H16_20230511_024500.ogg,H16_20230511_024500,60.0,32000,1,72,460234,roahaw,gohman1
H27_20230511_033500.ogg,H27_20230511_033500,60.0,32000,1,72,465200,whtdov,roahaw
H85_20230424_062500.ogg,H85_20230424_062500,60.0,32000,1,72,461344,roahaw,pavpig2
H06_20230511_014500.ogg,H06_20230511_014500,60.0,32000,1,72,468444,whtdov,compau
H29_20230508_140000.ogg,H29_20230508_140000,60.0,32000,1,72,463486,whtdov,gohman1
